date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2024/4/9, 51, , 36, , 6, 5,24.50,-352
2024/4/10, 53, , 38, , 5, 5,25.25,-353
2024/4/11, 68, , 44, , 8, 8,32.00,-354
2024/4/12, 75, , 52, , 4, 5,34.00,-355
2024/4/13, 66, , 58, , 8, 7,34.75,-356
2024/4/14, 84, , 53, , 5, 4,36.50,-357
2024/4/15, 68, , 42, , 8, 5,30.75,-358
2024/4/16, 66, , 73, , 7, 5,37.75,-359
2024/4/17, 78, , 16, , 6, 13,28.25,-360
2024/4/18, 1, , 28, , 11, 10,12.50,-361
2024/4/19, 74, , 5, , 10, 9,24.50,-362
2024/4/20, 52, , 23, , 14, 12,25.25,-363
2024/4/21, 72, , 29, , 5, 6,28.00,-364
2024/4/22, 34, , 13, , 8, 8,15.75,-365
2024/4/23, 49, , 20, , 10, 12,22.75,-366
2024/4/24, 73, , 35, , 7, 9,31.00,-367
2024/4/25, 56, , 21, , 9, 12,24.50,-368
2024/4/26, 60, , 26, , 10, 10,26.50,-369
2024/4/27, 61, , 23, , 9, 9,25.50,-370
2024/4/28, 60, , 31, , 6, 8,26.25,-371
2024/4/29, 40, , 21, , 7, 10,19.50,-372
2024/4/30, 47, , 22, , 9, 11,22.25,-373
2024/5/1, 62, , 30, , 6, 7,26.25,-374
2024/5/2, 51, , 27, , 6, 4,22.00,-375
2024/5/3, 55, , 25, , 2, 2,21.00,-376
2024/5/4, 39, , 24, , 4, 2,17.25,-377
2024/5/5, 43, , 10, , 5, 4,15.50,-378
2024/5/6, 41, , 22, , 6, 6,18.75,-379
2024/5/7, 53, , 21, , 5, 5,21.00,-380
2024/5/8, 57, , 12, , 6, 7,20.50,-381
2024/5/9, 48, , 11, , 9, 14,20.50,-382
2024/5/10, 84, , 32, , 4, 4,31.00,-383
2024/5/11, 42, , 26, , 6, 8,20.50,-384
2024/5/12, 56, , 39, , 5, 6,26.50,-385
2024/5/13, 52, , 19, , 6, 8,21.25,-386
2024/5/14, 63, , 14, , 7, 7,22.75,-387
2024/5/15, 73, , 24, , 9, 7,28.25,-388
2024/5/16, 65, , 23, , 4, 4,24.00,-389
2024/5/17, 44, , 29, , 7, 7,21.75,-390
2024/5/18, 66, , 23, , 2, 4,23.75,-391
2024/5/19, 44, , 23, , 2, 3,18.00,-392
2024/5/20, 30, , 22, , 1, 3,14.00,-393
2024/5/21, 35, , 25, , 2, 3,16.25,-394
2024/5/22, 30, , 21, , 2, 5,14.50,-395
2024/5/23, 62, , 21, , , 3,28.67,-396
2024/5/24, 48, , 29, , 2, 3,20.50,-397
2024/5/25, 49, , 28, , 2, 4,20.75,-398
2024/5/26, 46, , 32, , 1, 4,20.75,-399
2024/5/27, 47, , 26, , 2, 5,20.00,-400
2024/5/28, 44, , 17, , 1, 5,16.75,-401
2024/5/29, 55, , 11, , 2, 8,19.00,-402
2024/5/30, 68, , 30, , 2, 5,26.25,-403
2024/5/31, 52, , 23, , , 3,26.00,-404
2024/6/1, 33, , 34, , , 2,23.00,-405
2024/6/2, 33, , 40, , , 3,25.33,-406
2024/6/3, 31, , 26, , 1, 3,15.25,-407
2024/6/4, 28, , 23, , , 6,19.00,-408
2024/6/5, 32, , 22, , 1, 6,15.25,-409
2024/6/6, 46, , 10, , 2, 7,16.25,-410
2024/6/7, 53, , 18, , 2, 6,19.75,-411
2024/6/8, 58, , 23, , 3, 6,22.50,-412
2024/6/9, 51, , 28, , 2, 4,21.25,-413
2024/6/10, 46, , 24, , 2, 5,19.25,-414
2024/6/11, 45, , 21, , 2, 6,18.50,-415
2024/6/12, 48, , 26, , 3, 7,21.00,-416
2024/6/13, 52, , 17, , 2, 4,18.75,-417
2024/6/14, 50, , 20, , 2, 3,18.75,-418
2024/6/15, 43, , 17, , 2, 4,16.50,-419
2024/6/16, 43, , 24, , 2, 4,18.25,-420
2024/6/17, 29, , 28, , 2, 3,15.50,-421
2024/6/18, 36, , 43, , 3, 6,22.00,-422
2024/6/19, 58, , 17, , 3, 6,21.00,-423
2024/6/20, 64, , 19, , 4, 6,23.25,-424
2024/6/21, 67, , 17, , 3, 7,23.50,-425
2024/6/22, 50, , 28, , 3, 7,22.00,-426
2024/6/23, 63, , 42, , 2, 5,28.00,-427
2024/6/24, 52, , 38, , 3, 4,24.25,-428
2024/6/25, 33, , 27, , 2, 4,16.50,-429
2024/6/26, 41, , 27, , 3, 5,19.00,-430
2024/6/27, 53, , 26, , 3, 5,21.75,-431
2024/6/28, 62, , 31, , 3, 5,25.25,-432
2024/6/29, 59, , 35, , 3, 5,25.50,-433
2024/6/30, 60, , 24, , 3, 4,22.75,-434
2024/7/1, 50, , 34, , 3, 4,22.75,-435
2024/1/2, 181, , 21, , 6, 10,54.50,-436
2024/1/3, 73, , 9, , 8, 5,23.75,-437
2024/1/4, 54, , 17, , 5, 7,20.75,-438
2024/1/5, 48, , 31, , 4, 6,22.25,-439
2024/1/6, 48, , 33, , 10, 7,24.50,-440
2024/1/7, 66, , 34, , 3, 5,27.00,-441
2024/1/8, 42, , 30, , 6, 8,21.50,-442
2024/1/9, 66, , 23, , 7, 6,25.50,-443
2024/1/10, 73, , 27, , 3, 3,26.50,-444
2024/1/11, 44, , 31, , 6, 4,21.25,-445
2024/1/12, 67, , 21, , 5, 3,24.00,-446
2024/1/13, 47, , 43, , 5, 3,24.50,-447
2024/1/14, 52, , 40, , 7, 4,25.75,-448
2024/1/15, 60, , 29, , 7, 6,25.50,-449
2024/1/16, 55, , 26, , 6, 4,22.75,-450
2024/1/17, 38, , 22, , 7, 4,17.75,-451
2024/1/18, 43, , 32, , 4, 5,21.00,-452
2024/1/19, 38, , 30, , 5, 5,19.50,-453
2024/1/20, 40, , 33, , 4, 5,20.50,-454
2024/1/21, 49, , 30, , 3, 4,21.50,-455
2024/1/22, 39, , 33, , 3, 3,19.50,-456
2024/1/23, 30, , 36, , 3, 3,18.00,-457
2024/1/24, 34, , 53, , 3, 3,23.25,-458
2024/1/25, 34, , 63, , 6, 6,27.25,-459
2024/1/26, 58, , 55, , 5, 6,31.00,-460
2024/1/27, 65, , 63, , 4, 5,34.25,-461
2024/1/28, 67, , 66, , 5, 4,35.50,-462
2024/1/29, 71, , 57, , 6, 5,34.75,-463
2024/1/30, 73, , 51, , 8, 5,34.25,-464
2024/1/31, 67, , 48, , 11, 6,33.00,-465
2024/2/1, 80, , 40, , 4, 6,32.50,-466
