date, pm25, o3, so2, co
2021/3/6, 69, 40, 7, 13
2021/3/7, 72, 35, 4, 9
2021/3/8, 71, 18, 4, 8
2021/3/9, 54, 10, 5, 8
2021/3/10, 58, 14, 5, 8
2021/3/11, 58, 12, 8, 8
2021/3/12, 69, 18, 5, 6
2021/3/13, 64, 23, 6, 12
2021/3/14, 73, 28, 5, 7
2021/3/15, 52, 19, 6, 9
2021/3/16, 70, 33, 6, 8
2021/3/17, 54, 27, 11, 11
2021/3/18, 75, 30, 5, 8
2021/3/19, 57, 27, 6, 10
2021/3/20, 67, 26, 5, 8
2021/3/21, 60, 31, 9, 8
2021/3/22, 54, 21, 4, 6
2021/3/23, 52, 24, 5, 9
2021/3/24, 56, 43, 10, 10
2021/3/25, 64, 40, 16, 10
2021/3/26, 76, 36, 7, 9
2021/3/27, 70, 33, 6, 9
2021/3/28, 74, 35, 11, 8
2021/3/29, 62, 24, 5, 8
2021/3/30, 66, 21, 7, 7
2021/3/31, 51, 26, 8, 8
2021/4/1, 59, 31, 9, 8
2020/10/2, 48, 54, 7, 6
2020/10/3, 55, 33, 7, 8
2020/10/4, 78, 45, 5, 6
2020/10/5, 48, 55, 4, 4
2020/10/6, 40, 70, 6, 6
2020/10/7, 51, 65, 3, 5
2020/10/8, 46, 76, 3, 5
2020/10/9, 42, 79, 2, 4
2020/10/10, 51, 86, 3, 5
2020/10/11, 57, 83, 3, 4
2020/10/12, 47, 74, 3, 4
2020/10/13, 34, 63, 4, 5
2020/10/14, 44, 53, 6, 6
2020/10/15, 60, 53, 6, 6
2020/10/16, 51, 43, 5, 7
2020/10/17, 47, 33, 4, 7
2020/10/18, 40, 43, 4, 7
2020/10/19, 58, 38, 6, 11
2020/10/20, 63, 40, 9, 12
2020/10/21, 78, 32, 13, 8
2020/10/22, 55, 45, 6, 5
2020/10/23, 37, 42, 6, 7
2020/10/24, 50, 40, 7, 10
2020/10/25, 66, 54, 5, 9
2020/10/26, 66, 52, 3, 7
2020/10/27, 64, 25, 5, 9
2020/10/28, 65, 36, 3, 7
2020/10/29, 54, 39, 2, 6
2020/10/30, 60, 29, 5, 7
2020/10/31, 63, 39, 7, 9
2020/11/1, 70, 42, 5, 7
2020/11/2, 63, 45, 10, 7
2020/11/3, 60, 41, 18, 8
2020/11/4, 65, 45, 21, 8
2020/11/5, 73, 50, 18, 7
