date, pm25, o3, so2, co,ICA,nDia
2021/8/7, 57, 31, 6, 8,25.50,-321
2021/8/8, 58, 44, 8, 7,29.25,-322
2021/8/9, 64, 36, 7, 9,29.00,-323
2021/8/10, 74, 32, 6, 7,29.75,-324
2021/8/11, 45, 36, 5, 6,23.00,-325
2021/8/12, 51, 29, 8, 7,23.75,-326
2021/8/13, 65, 35, 6, 6,28.00,-327
2021/8/14, 63, 39, 7, 11,30.00,-328
2021/8/15, 80, 38, 4, 7,32.25,-329
2021/8/16, 67, 33, 6, 8,28.50,-330
2021/8/17, 69, 31, 7, 9,29.00,-331
2021/8/18, 64, 36, 6, 7,28.25,-332
2021/8/19, 63, 42, 6, 7,29.50,-333
2021/8/20, 57, 46, 10, 8,30.25,-334
2021/8/21, 71, 41, 10, 11,33.25,-335
2021/8/22, 58, 37, 6, 7,27.00,-336
2021/8/23, 46, 31, 6, 7,22.50,-337
2021/8/24, 62, 33, 12, 9,29.00,-338
2021/8/25, 71, 29, 7, 8,28.75,-339
2021/8/26, 64, 36, 6, 8,28.50,-340
2021/8/27, 64, 41, 9, 8,30.50,-341
2021/8/28, 78, 34, 9, 9,32.50,-342
2021/8/29, 64, 35, 9, 10,29.50,-343
2021/8/30, 59, 29, 8, 9,26.25,-344
2021/8/31, 60, 47, 11, 13,32.75,-345
2021/9/1, 74, 45, 9, 6,33.50,-346
2021/9/2, 46, 38, 7, 5,24.00,-347
2021/9/3, 51, 39, 12, 9,27.75,-348
2021/9/4, 63, 43, 9, 7,30.50,-349
2021/9/5, 51, 45, 5, 6,26.75,-350
2021/9/6, 47, 26, 9, 9,22.75,-351
2021/9/7, 50, 45, 11, 9,28.75,-352
2021/9/8, 61, 36, 18, 11,31.50,-353
2021/9/9, 88, 42, 12, 12,38.50,-354
2021/9/10, 65, 50, 9, 7,32.75,-355
2021/9/11, 70, 36, 7, 8,30.25,-356
2021/9/12, 67, 34, 6, 8,28.75,-357
2021/9/13, 59, 45, 9, 8,30.25,-358
2021/9/14, 62, 50, 19, 10,35.25,-359
2021/9/15, 67, 57, 9, 6,34.75,-360
2021/9/16, 59, 59, 7, 6,32.75,-361
2021/9/17, 49, 71, 6, 6,33.00,-362
2021/9/18, 47, 61, 7, 8,30.75,-363
2021/9/19, 53, 61, 8, 9,32.75,-364
2021/9/20, 59, 46, 7, 9,30.25,-365
2021/9/21, 64, 39, 8, 10,30.25,-366
2021/9/22, 67, 36, 12, 10,31.25,-367
2021/9/23, 66, 50, 6, 6,32.00,-368
2021/9/24, 68, 50, 6, 7,32.75,-369
2021/9/25, 51, 74, 4, 6,33.75,-370
2021/9/26, 29, 68, 4, 6,26.75,-371
2021/9/27, 32, 68, 7, 7,28.50,-372
2021/9/28, 48, 51, 7, 7,28.25,-373
2021/9/29, 55, 39, 4, 6,26.00,-374
2021/9/30, 66, 34, 2, 8,27.50,-375
2021/10/1, 59, 38, 12, 12,30.25,-376
2021/4/2, 57, 29, 3, 6,23.75,-377
2021/4/3, 52, 22, 2, 9,21.25,-378
2021/4/4, 55, 21, 4, 9,22.25,-379
2021/4/5, 51, 31, 5, 9,24.00,-380
